SWI|(DODG) Swinger (Dart), Dodge
EGT|(BENT) Eight, Bentley
SAL|(AERO) Sailplane (Glider); (CHRY) Salon, Chrysler
HLX|(TOYT) Hi-Lux, Toyota
PRV|(TOYT) Previa, Toyota
360|360 Challenge Stradale
DTS|DTS (Replaced DeVille Model Name)
ZEP|(ENGF) Zephyr, English Ford (British); (LINC) Zephyr, Lincoln-Continental; (MERC) Zephyr, Mercury
L6|(BMW) L6, BMW
SRX|(CADI) SRX, Cadillac
ML3|(MERZ) ML320 (sport utility), Mercedes-Benz
TR8|(TRIU) TR8, Triumph
CAB|(AUDI) Cabriolet, Audi; (BERO) Cabrio, Bertone; (GMC) Cabellero, General Motors Corp.; (PORS) Cabriolet, Porsche; (VOLK) Cabriolet, Volkswagen
GLX|(CONU) GCP, Consulier
TK|Trucks (including heavy-duty trucks, buses, motorized homes, etc.)
PLA|(PLYM) Plaza, Plymouth
740|(BMW) 740, BMW; (VOLV) 740 Series, Volvo
VEL|(VAUX) Velox, Vauxhall
GSP|Gran Sport
930|(PORS) 930, Porsche
SCI|(VOLK) Scirocco, Volkswagen
